t,x,y,weight
0.00,0.01,-1.51,29
0.03,0.00,-1.49,29
0.07,0.00,-1.46,29
0.10,0.00,-1.42,29
0.13,-0.01,-1.39,29
0.17,-0.01,-1.35,29
0.20,-0.02,-1.31,29
0.23,-0.02,-1.27,29
0.27,-0.02,-1.24,29
0.30,-0.02,-1.22,29
0.33,-0.02,-1.20,29
0.37,-0.02,-1.20,29
0.40,-0.03,-1.20,29
0.44,-0.03,-1.21,29
0.47,-0.04,-1.23,29
0.50,-0.04,-1.26,29
0.54,-0.04,-1.29,29
0.57,-0.05,-1.33,29
0.60,-0.05,-1.37,29
0.64,-0.05,-1.40,30
0.67,-0.05,-1.43,30
0.70,-0.05,-1.46,30
0.74,-0.05,-1.48,30
0.77,-0.05,-1.49,30
0.80,-0.05,-1.50,30
0.84,-0.05,-1.50,30
0.87,-0.05,-1.50,30
0.90,-0.05,-1.48,30
0.94,-0.04,-1.46,30
0.97,-0.03,-1.43,30
1.00,-0.03,-1.40,30
1.04,-0.03,-1.37,30
1.07,-0.02,-1.34,31
1.10,-0.02,-1.30,31
1.14,-0.01,-1.27,31
1.17,-0.01,-1.25,31
1.20,0.00,-1.23,31
1.24,0.01,-1.22,31
1.27,0.02,-1.22,31
1.30,0.02,-1.22,31
1.34,0.02,-1.24,31
1.37,0.02,-1.26,31
1.40,0.03,-1.28,31
1.44,0.03,-1.31,31
1.47,0.04,-1.34,31
1.50,0.05,-1.37,31
1.54,0.05,-1.40,31
1.57,0.05,-1.42,31
1.60,0.05,-1.44,31
1.64,0.06,-1.46,31
1.67,0.06,-1.47,31
1.70,0.07,-1.47,31
1.74,0.07,-1.46,31
1.77,0.07,-1.45,31
1.80,0.06,-1.44,31
1.84,0.06,-1.42,31
1.87,0.07,-1.39,31
1.90,0.07,-1.36,31
1.94,0.06,-1.34,31
1.97,0.06,-1.31,31
2.00,0.05,-1.28,31
2.04,0.05,-1.26,31
2.07,0.05,-1.25,31
2.10,0.04,-1.23,31
2.14,0.04,-1.23,31
2.17,0.04,-1.24,31
2.20,0.04,-1.25,31
2.24,0.03,-1.26,31
2.27,0.03,-1.28,31
2.30,0.02,-1.31,31
2.34,0.02,-1.33,31
2.37,0.01,-1.36,31
2.40,0.01,-1.39,31
2.44,0.01,-1.41,31
2.47,0.00,-1.43,31
2.50,-0.01,-1.44,31
2.54,-0.01,-1.45,31
2.57,-0.01,-1.46,31
2.60,-0.01,-1.45,31
2.64,-0.02,-1.45,32
2.67,-0.02,-1.44,32
2.70,-0.03,-1.42,32
2.74,-0.03,-1.40,32
2.77,-0.03,-1.38,32
2.80,-0.03,-1.35,32
2.84,-0.03,-1.33,32
2.87,-0.04,-1.31,32
2.90,-0.04,-1.29,32
2.94,-0.04,-1.27,32
2.97,-0.04,-1.26,32
3.00,-0.04,-1.26,32
3.04,-0.04,-1.26,33
3.07,-0.04,-1.27,33
3.10,-0.04,-1.28,33
3.14,-0.04,-1.30,33
3.17,-0.05,-1.32,33
3.20,-0.05,-1.34,33
3.24,-0.04,-1.36,33
3.27,-0.04,-1.38,33
3.30,-0.04,-1.40,33
3.34,-0.04,-1.42,33
3.37,-0.04,-1.43,33
3.40,-0.03,-1.44,33
3.44,-0.03,-1.44,33
3.47,-0.03,-1.44,33
3.50,-0.02,-1.43,33
3.54,-0.02,-1.42,33
3.57,-0.02,-1.41,33
3.61,-0.01,-1.39,33
3.64,-0.01,-1.37,33
3.67,0.00,-1.35,33
3.71,0.00,-1.33,33
3.74,0.01,-1.31,33
3.77,0.01,-1.29,33
3.81,0.01,-1.28,33
3.84,0.02,-1.27,33
3.87,0.02,-1.27,33
3.91,0.03,-1.27,33
3.94,0.03,-1.27,33
3.97,0.04,-1.28,33
4.01,0.04,-1.29,33
4.04,0.04,-1.31,33
4.07,0.05,-1.33,33
4.11,0.05,-1.34,33
4.14,0.05,-1.36,33
4.17,0.06,-1.38,33
4.21,0.06,-1.39,33
4.24,0.06,-1.40,33
4.27,0.06,-1.41,33
4.31,0.06,-1.41,33
4.34,0.06,-1.41,33
4.37,0.06,-1.41,33
4.41,0.06,-1.40,33
4.44,0.05,-1.38,33
4.47,0.05,-1.37,33
4.51,0.05,-1.35,33
4.54,0.05,-1.34,33
4.57,0.04,-1.32,33
4.61,0.04,-1.30,33
4.64,0.03,-1.29,33
4.67,0.03,-1.28,33
4.71,0.02,-1.28,34
4.74,0.02,-1.27,34
