t,y
0.033,1.737
0.067,1.688
0.1,1.623
0.133,1.556
0.167,1.485
0.2,1.415
0.234,1.349
0.267,1.288
0.3,1.237
0.334,1.2
0.367,1.182
0.4,1.172
0.434,1.175
0.467,1.184
0.501,1.214
0.534,1.257
0.567,1.308
0.601,1.365
0.634,1.424
0.667,1.485
0.701,1.541
0.734,1.595
0.767,1.638
0.801,1.657
0.834,1.673
0.868,1.675
0.901,1.662
0.934,1.639
0.968,1.605
1.001,1.561
1.034,1.511
1.068,1.459
1.101,1.405
1.134,1.354
1.168,1.309
1.201,1.27
1.235,1.24
1.268,1.223
1.301,1.218
1.335,1.224
1.368,1.239
1.401,1.266
1.435,1.304
1.468,1.349
1.502,1.399
1.535,1.451
1.568,1.502
1.602,1.553
1.635,1.598
1.668,1.638
1.702,1.665
1.735,1.68
1.768,1.683
1.802,1.673
1.835,1.65
1.869,1.617
1.902,1.578
1.935,1.536
1.969,1.487
2.002,1.441
2.035,1.398
2.069,1.362
2.102,1.334
2.135,1.312
2.169,1.299
2.202,1.296
2.236,1.303
2.269,1.318
2.302,1.34
2.336,1.371
2.369,1.407
2.402,1.447
2.436,1.49
2.469,1.531
2.502,1.568
2.536,1.6
2.569,1.626
2.603,1.641
2.636,1.645
2.669,1.639
2.703,1.62
2.736,1.593
2.769,1.559
2.803,1.523
2.836,1.482
2.87,1.441
2.903,1.402
2.936,1.366
2.97,1.336
3.003,1.312
3.036,1.296
3.07,1.29
3.103,1.289
3.136,1.296
3.17,1.312
3.203,1.334
3.237,1.362
3.27,1.395
3.303,1.428
3.337,1.462
3.37,1.495
3.403,1.526
3.437,1.551
3.47,1.569
3.503,1.581
3.537,1.581
3.57,1.575
3.604,1.56
3.637,1.537
3.67,1.511
3.704,1.481
3.737,1.45
3.77,1.42
3.804,1.391
3.837,1.369
3.871,1.349
3.904,1.337
3.937,1.329
3.971,1.33
4.004,1.337
4.037,1.352
4.071,1.371
4.104,1.396
4.137,1.425
4.171,1.457
4.204,1.489
4.238,1.52
4.271,1.549
4.304,1.574
4.338,1.592
4.371,1.605
4.404,1.609
4.438,1.606
4.471,1.595
4.505,1.578
4.538,1.556
4.571,1.53
4.605,1.503
4.638,1.476
4.671,1.451
4.705,1.426
4.738,1.407
4.771,1.394
4.805,1.386
4.838,1.382
4.872,1.385
4.905,1.392
4.938,1.404
4.972,1.422
5.005,1.443
5.038,1.465
5.072,1.489
5.105,1.512
5.138,1.532
5.172,1.55
5.205,1.562
5.239,1.568
5.272,1.568
5.305,1.562
5.339,1.549
5.372,1.532
5.405,1.51
5.439,1.486
5.472,1.461
5.505,1.437
5.539,1.413
5.572,1.393
5.606,1.376
5.639,1.363
5.672,1.357
5.706,1.356
5.739,1.358
5.772,1.366
5.806,1.377
5.839,1.392
5.873,1.41
5.906,1.431
5.939,1.453
5.973,1.474
6.006,1.493
6.039,1.51
6.073,1.525
6.106,1.534
6.139,1.537
6.173,1.535
6.206,1.528
6.24,1.518
6.273,1.504
6.306,1.487
6.34,1.469
6.373,1.451
6.406,1.434
6.44,1.42
6.473,1.409
6.506,1.401
6.54,1.397
6.573,1.393
6.607,1.403
6.64,1.413
6.673,1.427
6.707,1.443
6.74,1.462
6.773,1.481
6.807,1.501
6.84,1.52
6.874,1.538
6.907,1.552
6.94,1.561
6.974,1.568
7.007,1.57
7.04,1.567
7.074,1.557
7.107,1.547
7.14,1.531
7.174,1.516
7.207,1.497
7.241,1.481
7.274,1.465
7.307,1.451
7.341,1.438
7.374,1.431
7.407,1.427
7.441,1.426
7.474,1.428
7.508,1.435
7.541,1.444
7.574,1.455
7.608,1.468
7.641,1.483
7.674,1.495
7.708,1.508
7.741,1.519
7.774,1.527
7.808,1.53
7.841,1.53
7.875,1.525
7.908,1.519
7.941,1.508
7.975,1.496
8.008,1.481
8.041,1.465
8.075,1.45
8.108,1.435
8.141,1.421
8.175,1.411
8.208,1.403
8.242,1.399
8.275,1.394
8.308,1.397
8.342,1.403
8.375,1.411
8.408,1.42
8.442,1.433
8.475,1.446
8.508,1.46
8.542,1.473
