t,x,y
0.0000000,-0.0112851,-1.4388499
0.0333667,-0.0109003,-1.4216719
0.0667333,-0.0114598,-1.3995866
0.1001000,-0.0121452,-1.3750554
0.1334667,-0.0115921,-1.3481868
0.1668333,-0.0107731,-1.3219013
0.2002000,-0.0098898,-1.2971023
0.2335667,-0.0094654,-1.2759691
0.2669333,-0.0094417,-1.2591611
0.3003000,-0.0093532,-1.2478353
0.3336667,-0.0093496,-1.2437229
0.3670333,-0.0092907,-1.2473338
0.4004000,-0.0090267,-1.2575984
0.4337667,-0.0082703,-1.2730047
0.4671333,-0.0068964,-1.2925597
0.5005000,-0.0063217,-1.3149552
0.5338667,-0.0060326,-1.3388784
0.5672333,-0.0057790,-1.3621633
0.6006000,-0.0055379,-1.3837556
0.6339667,-0.0047663,-1.4024055
0.6673333,-0.0038789,-1.4163936
0.7007000,-0.0030598,-1.4258118
0.7340667,-0.0017423,-1.4296954
0.7674333,-0.0011988,-1.4282725
0.8008000,0.0000400,-1.4222882
0.8341667,0.0008370,-1.4109258
0.8675333,0.0017053,-1.3947001
0.9009000,0.0023880,-1.3752803
0.9342667,0.0031605,-1.3535241
0.9676333,0.0036011,-1.3316004
1.0010000,0.0043852,-1.3102391
1.0343667,0.0052808,-1.2914992
1.0677333,0.0057944,-1.2764214
1.1011000,0.0067646,-1.2663885
1.1344667,0.0070838,-1.2612962
1.1678333,0.0073010,-1.2619441
1.2012000,0.0081180,-1.2681711
1.2345667,0.0083640,-1.2793177
1.2679333,0.0084052,-1.2940614
1.3013000,0.0087702,-1.3119789
1.3346667,0.0091801,-1.3312046
1.3680333,0.0095196,-1.3507534
1.4014000,0.0093976,-1.3687234
1.4347667,0.0091749,-1.3847124
1.4681333,0.0092670,-1.3975942
1.5015000,0.0089513,-1.4068651
1.5348667,0.0081237,-1.4113303
1.5682333,0.0078854,-1.4105712
1.6016000,0.0077408,-1.4062562
1.6349667,0.0067825,-1.3976360
1.6683333,0.0061077,-1.3855643
1.7017000,0.0052904,-1.3703649
1.7350667,0.0043777,-1.3531425
1.7684333,0.0036918,-1.3353252
1.8018000,0.0027183,-1.3182320
1.8351667,0.0017814,-1.3023520
1.8685333,0.0009139,-1.2895051
1.9019000,-0.0001786,-1.2800872
1.9352667,-0.0010099,-1.2749006
1.9686333,-0.0016478,-1.2744711
2.0020000,-0.0024900,-1.2791854
2.0353667,-0.0029228,-1.2880079
2.0687333,-0.0037708,-1.3001303
2.1021000,-0.0046351,-1.3147367
2.1354667,-0.0053031,-1.3305296
2.1688333,-0.0062733,-1.3462801
2.2022000,-0.0067632,-1.3610459
2.2355667,-0.0071915,-1.3734224
2.2689333,-0.0078471,-1.3833888
2.3023000,-0.0083174,-1.3897879
2.3356667,-0.0089197,-1.3925625
2.3690333,-0.0095841,-1.3917143
2.4024000,-0.0096168,-1.3870348
2.4357667,-0.0096390,-1.3787055
2.4691333,-0.0097716,-1.3676020
2.5025000,-0.0098969,-1.3540511
2.5358667,-0.0100596,-1.3394395
2.5692333,-0.0099726,-1.3242415
2.6026000,-0.0095812,-1.3096456
2.6359667,-0.0092723,-1.2967698
2.6693333,-0.0090510,-1.2867550
2.7027000,-0.0088694,-1.2797972
2.7360667,-0.0090787,-1.2768225
2.7694333,-0.0089386,-1.2778452
2.8028000,-0.0087497,-1.2831045
2.8361667,-0.0080605,-1.2914288
2.8695333,-0.0074470,-1.3024758
2.9029000,-0.0070846,-1.3149160
2.9362667,-0.0065480,-1.3284258
2.9696333,-0.0061180,-1.3415751
3.0030000,-0.0058104,-1.3537602
3.0363667,-0.0047221,-1.3636953
3.0697333,-0.0037958,-1.3710958
3.1031000,-0.0031940,-1.3752913
3.1364667,-0.0020838,-1.3763876
3.1698333,-0.0016575,-1.3746925
3.2032000,-0.0007651,-1.3697779
3.2365667,0.0000596,-1.3614485
3.2699333,0.0009254,-1.3511674
3.3033000,0.0017771,-1.3395129
3.3366667,0.0022930,-1.3274380
3.3700333,0.0030484,-1.3155791
3.4034000,0.0036715,-1.3046698
3.4367667,0.0045616,-1.2957978
3.4701333,0.0056308,-1.2897912
3.5035000,0.0065479,-1.2867264
3.5368667,0.0068915,-1.2869472
3.5702333,0.0073005,-1.2907001
3.6036000,0.0081002,-1.2973541
3.6369667,0.0083713,-1.3061747
3.6703333,0.0092356,-1.3167051
