mass_A,
t,y
0.00000E+00,2.05695E+00
3.33667E-02,1.99023E+00
6.67333E-02,1.91690E+00
1.00100E-01,1.84107E+00
1.33467E-01,1.77240E+00
1.66833E-01,1.71089E+00
2.00200E-01,1.65515E+00
2.33567E-01,1.61219E+00
2.66933E-01,1.59199E+00
3.00300E-01,1.58561E+00
3.33667E-01,1.59455E+00
3.67033E-01,1.61872E+00
4.00400E-01,1.65450E+00
4.33767E-01,1.70284E+00
4.67133E-01,1.76297E+00
5.00500E-01,1.83147E+00
5.33867E-01,1.89734E+00
5.67233E-01,1.96063E+00
6.00600E-01,2.01258E+00
6.33967E-01,2.05184E+00
6.67333E-01,2.07894E+00
7.00700E-01,2.09004E+00
7.34067E-01,2.08062E+00
7.67433E-01,2.05610E+00
8.00800E-01,2.01908E+00
8.34167E-01,1.97167E+00
8.67533E-01,1.91597E+00
9.00900E-01,1.85833E+00
9.34267E-01,1.80069E+00
9.67633E-01,1.74785E+00
1.00100E+00,1.70577E+00
1.03437E+00,1.67507E+00
1.06773E+00,1.65444E+00
1.10110E+00,1.64880E+00
1.13447E+00,1.65773E+00
1.16783E+00,1.67868E+00
1.20120E+00,1.71492E+00
1.23457E+00,1.75851E+00
1.26793E+00,1.80851E+00
1.30130E+00,1.86136E+00
1.33467E+00,1.91446E+00
1.36803E+00,1.96411E+00
1.40140E+00,2.00673E+00
1.43477E+00,2.03644E+00
1.46813E+00,2.05552E+00
1.50150E+00,2.05703E+00
1.53487E+00,2.04337E+00
1.56823E+00,2.01619E+00
1.60160E+00,1.98039E+00
1.63497E+00,1.93718E+00
1.66833E+00,1.89137E+00
1.70170E+00,1.84154E+00
1.73507E+00,1.79503E+00
1.76843E+00,1.75412E+00
1.80180E+00,1.72474E+00
1.83517E+00,1.70585E+00
1.86853E+00,1.69606E+00
1.90190E+00,1.70075E+00
1.93527E+00,1.71522E+00
1.96863E+00,1.74155E+00
2.00200E+00,1.77670E+00
2.03537E+00,1.81805E+00
2.06873E+00,1.86245E+00
2.10210E+00,1.90611E+00
2.13547E+00,1.94618E+00
2.16883E+00,1.97837E+00
2.20220E+00,2.00270E+00
2.23557E+00,2.01639E+00
2.26893E+00,2.01749E+00
2.30230E+00,2.00896E+00
2.33567E+00,1.98735E+00
2.36903E+00,1.95534E+00
2.40240E+00,1.91833E+00
2.43577E+00,1.88037E+00
2.46913E+00,1.83945E+00
2.50250E+00,1.80222E+00
2.53587E+00,1.77088E+00
2.56923E+00,1.74733E+00
2.60260E+00,1.73149E+00
2.63597E+00,1.73045E+00
2.66933E+00,1.73535E+00
2.70270E+00,1.75418E+00
2.73607E+00,1.77979E+00
2.76943E+00,1.81256E+00
2.80280E+00,1.84824E+00
2.83617E+00,1.88492E+00
2.86953E+00,1.92056E+00
2.90290E+00,1.95305E+00
2.93627E+00,1.97622E+00
2.96963E+00,1.99124E+00
3.00300E+00,1.99642E+00
3.03637E+00,1.99130E+00
3.06973E+00,1.97735E+00
3.10310E+00,1.95489E+00
3.13647E+00,1.92668E+00
3.16983E+00,1.89485E+00
3.20320E+00,1.86121E+00
3.23657E+00,1.82974E+00
3.26993E+00,1.80222E+00
3.30330E+00,1.78200E+00
3.33667E+00,1.77071E+00
3.37003E+00,1.76668E+00
3.40340E+00,1.77198E+00
3.43677E+00,1.78596E+00
3.47013E+00,1.80813E+00
3.50350E+00,1.83593E+00
3.53687E+00,1.86777E+00
3.57023E+00,1.89964E+00
3.60360E+00,1.92804E+00
3.63697E+00,1.95125E+00
3.67033E+00,1.97407E+00
3.70370E+00,1.98626E+00
3.73707E+00,1.99040E+00
3.77043E+00,1.98491E+00
3.80380E+00,1.97161E+00
3.83717E+00,1.95031E+00
3.87053E+00,1.92346E+00
3.90390E+00,1.89466E+00
3.93727E+00,1.86964E+00
3.97063E+00,1.84433E+00
4.00400E+00,1.82142E+00
4.03737E+00,1.80530E+00
4.07073E+00,1.79845E+00
4.10410E+00,1.79579E+00
4.13747E+00,1.80376E+00
4.17083E+00,1.82253E+00
4.20420E+00,1.84123E+00
4.23757E+00,1.86424E+00
4.27093E+00,1.89229E+00
4.30430E+00,1.91749E+00
4.33767E+00,1.94140E+00
4.37103E+00,1.96237E+00
4.40440E+00,1.97593E+00
4.43777E+00,1.98032E+00
4.47113E+00,1.97816E+00
4.50450E+00,1.96754E+00
4.53787E+00,1.95040E+00
4.57123E+00,1.93090E+00
4.60460E+00,1.90730E+00
4.63797E+00,1.88238E+00
4.67133E+00,1.86400E+00
4.70470E+00,1.84284E+00
4.73807E+00,1.83128E+00
4.77143E+00,1.82726E+00
4.80480E+00,1.82812E+00
4.83817E+00,1.83623E+00
4.87153E+00,1.84997E+00
4.90490E+00,1.86808E+00
4.93827E+00,1.89194E+00
4.97163E+00,1.91685E+00
5.00500E+00,1.93983E+00
5.03837E+00,1.95779E+00
5.07173E+00,1.97419E+00
5.10510E+00,1.98344E+00
5.13847E+00,1.98677E+00
5.17183E+00,1.98357E+00
5.20520E+00,1.97261E+00
5.23857E+00,1.96093E+00
5.27193E+00,1.94280E+00
5.30530E+00,1.92190E+00
5.33867E+00,1.90315E+00
5.37203E+00,1.88610E+00
5.40540E+00,1.87052E+00
5.43877E+00,1.86281E+00
5.47213E+00,1.86139E+00
5.50550E+00,1.86561E+00
5.53887E+00,1.87370E+00
5.57223E+00,1.88741E+00
5.60560E+00,1.90589E+00
5.63897E+00,1.92622E+00
5.67233E+00,1.94692E+00
5.70570E+00,1.96551E+00
5.73907E+00,1.98019E+00
5.77243E+00,1.99050E+00
5.80580E+00,1.99429E+00
5.83917E+00,1.99448E+00
5.87253E+00,1.99003E+00
5.90590E+00,1.97929E+00
5.93927E+00,1.96404E+00
5.97263E+00,1.94631E+00
6.00600E+00,1.92992E+00
6.03937E+00,1.91359E+00
6.07273E+00,1.90118E+00
6.10610E+00,1.89375E+00
6.13947E+00,1.89152E+00
6.17283E+00,1.89295E+00
6.20620E+00,1.89922E+00
6.23957E+00,1.91131E+00
6.27293E+00,1.92553E+00
6.30630E+00,1.94208E+00
6.33967E+00,1.95781E+00
6.37303E+00,1.97311E+00
6.40640E+00,1.98538E+00
6.43977E+00,1.99032E+00
6.47313E+00,1.99402E+00
6.50650E+00,1.99170E+00
6.53987E+00,1.98323E+00
6.57323E+00,1.97608E+00
6.60660E+00,1.96440E+00
6.63997E+00,1.94853E+00
6.67333E+00,1.93163E+00
6.70670E+00,1.91893E+00
6.74007E+00,1.90947E+00
6.77343E+00,1.90741E+00
6.80680E+00,1.90676E+00
6.84017E+00,1.91101E+00
6.87353E+00,1.91963E+00
6.90690E+00,1.93098E+00
6.94027E+00,1.94523E+00
6.97363E+00,1.95928E+00
7.00700E+00,1.97264E+00
7.04037E+00,1.98365E+00
7.07373E+00,1.99061E+00
7.10710E+00,1.99545E+00
7.14047E+00,1.99586E+00
7.17383E+00,1.99140E+00
7.20720E+00,1.98536E+00
7.24057E+00,1.97384E+00
7.27393E+00,1.96233E+00
7.30730E+00,1.94914E+00
7.34067E+00,1.93797E+00
7.37403E+00,1.92943E+00
7.40740E+00,1.92491E+00
7.44077E+00,1.92388E+00
7.47413E+00,1.92553E+00
7.50750E+00,1.93118E+00
7.54087E+00,1.94044E+00
7.57423E+00,1.95020E+00
7.60760E+00,1.96320E+00
7.64097E+00,1.97537E+00
7.67433E+00,1.98673E+00
7.70770E+00,1.99524E+00
7.74107E+00,2.00021E+00
7.77443E+00,2.00058E+00
7.80780E+00,1.99875E+00
7.84117E+00,1.99225E+00
7.87453E+00,1.98544E+00
7.90790E+00,1.97432E+00
7.94127E+00,1.96348E+00
7.97463E+00,1.95360E+00
8.00800E+00,1.94439E+00
8.04137E+00,1.93933E+00
8.07473E+00,1.93628E+00
8.10810E+00,1.93810E+00
8.14147E+00,1.94214E+00
8.17483E+00,1.94920E+00
8.20820E+00,1.95820E+00
